d,English,German,Russian
GAMEPLAY_12Hour,12 Hour,,
GAMEPLAY_24Hour,24 Hour,,
GAMEPLAY_38AmmoBox,.38 Ammo Box,,
GAMEPLAY_38AmmoBoxDescription,A box of .38 caliber ammo.,,
GAMEPLAY_38AmmoBoxTooltip,Ammo,,
GAMEPLAY_AbandonedLookout,Abandoned Lookout,,
GAMEPLAY_Accelerant,Accelerant,,
GAMEPLAY_AccelerantMed,Accelerant,,
GAMEPLAY_AccelerantMedDescription,Medium-volume fuel source designed to help start fires; ex. charcoal fuel.,,
GAMEPLAY_AccelerantDescription,Low-volume fuel source designed to help start fires; ex. lighter fluid.,,
GAMEPLAY_AccelerantHeader,Accelerant (Optional),,
GAMEPLAY_AccelerantTooltip,Improves Firestarting,,
GAMEPLAY_AccelerantMedTooltip,Improves Firestarting,,
GAMEPLAY_AddedWaterToInventory,Added {quant-value} to {qual-value} water supply,,
GAMEPLAY_AdvancedFirstAid,Advanced First Aid,,
GAMEPLAY_Afflictions,Afflictions,,
GAMEPLAY_AirTemp,Air Temp,,
GAMEPLAY_AirTemperature,Air Temperature,,
GAMEPLAY_AlansCave,Alan's Cave,,
GAMEPLAY_All,All,,
GAMEPLAY_AM,AM,,
GAMEPLAY_AnalogSensitivity,Analog Sticks Sensitivity,,
GAMEPLAY_AnimalGut,Gut,,
GAMEPLAY_AnimalHide,Hide,,
GAMEPLAY_Antibiotics,Antibiotics,,
GAMEPLAY_AntibioticsDescription,A bottle of Antibiotics. Take it to stop infection from spreading.,,
GAMEPLAY_AntibioticsTooltip,Treats infection,,
GAMEPLAY_Antiseptic,Antiseptic,,
GAMEPLAY_AntisepticDescription,A bottle of Hydrogen Peroxide. Useful for cleaning wounds.,,
GAMEPLAY_AntisepticTooltip,Reduces Infection Risk,,
GAMEPLAY_APPLY,APPLY,,
GAMEPLAY_ApplyAntiseptic,Apply Antiseptic,,
GAMEPLAY_ApplyBandage,Apply Bandage,,
GAMEPLAY_ApplyCompressionBandage,Apply Compression Bandage,,
GAMEPLAY_ApplyingAntiseptic,Applying Antiseptic...,,
GAMEPLAY_ApplyingBandage,Applying Bandage...,,
GAMEPLAY_AteItem,Ate {item-name}.,,
GAMEPLAY_Attack,Attack,,
GAMEPLAY_Audio,Audio,,
