Key,English,NOTES,German,Russian
ACHIEVEMENT_ColdOutThere,Commence à faire froid dehors,,Wird kalt hier draußen,Начинает холодать
ACHIEVEMENT_ColdOutThereDescription,Vous avez survécu 15 jours en mode bac à sable.,,Du hast in einem Sandbox-Spiel 15 Tage überlebt.,Вы продержались 15 дней в одиночной игре на выживание.
ACHIEVEMENT_ExplorationGame,Petit explorateur,,Hereinspaziert,Исследование местности
ACHIEVEMENT_ExplorationGameDescription,Visiter chaque endroit du Lac Mystérieux et Route Côtière (en une partie),,Besuche in einem Spiel jeden Innenraum am Rätselsee und an der Küstenstraße.,Посетите каждую локацию в рамках Таинственного озера и Прибрежного шоссе (одиночная игра)
ACHIEVEMENT_MasterSurvivor,Robinson,,Überlebenskünstler,Эксперт по выживанию
ACHIEVEMENT_MasterSurvivorDescription,Vous avez survécu 40 jours en mode bac à sable.,,Du hast in einem Sandbox-Spiel 40 Tage überlebt.,Вы продержались 40 дней в одиночной игре на выживание.
ACHIEVEMENT_NightWalker,Nyctalope,,Nachtwandler,Ночной скиталец
ACHIEVEMENT_NightWalkerDescription,Survivre toute une nuit à l'extérieur (en une partie),,Überlebe eine ganz Nacht im Freien.,Проведите целую ночь вне укрытия (одиночная игра)
ACHIEVEMENT_Pacifist,Pacifiste,,Pazifist,Пацифист
ACHIEVEMENT_PacifistDescription,Survivre les 25 premiers jours sans tuer quoi que ce soit (en une partie),,"Überlebe in einem Spiel 25 Tage, ohne etwas zu töten.","Проживите 25 дней, никого не убивая (игра в одиночку)"
ACHIEVEMENT_PrepThePreppers,You Prep the Preppers,,Gut gerüstet,Вы непобедимы
ACHIEVEMENT_PrepThePreppersDescription,Vous avez survécu 30 jours en mode bac à sable.,,Du hast in einem Sandbox-Spiel 30 Tage überlebt.,Вы продержались 30 дней в одиночной игре на выживание.
ACHIEVEMENT_SHTF,C'est qui l'homme !,,Fürs Gröbste gewappnet,Вы готовы к концу света!
ACHIEVEMENT_SHTFDescription,Vous avez survécu 50 jours en mode bac à sable.,,Du hast in einem Sandbox-Spiel 50 Tage überlebt.,Вы продержались 50 дней в одиночной игре на выживание.
ACHIEVEMENT_SilentHunter,Tueur Silencieux,,Leiser Jäger,Тихий охотник
ACHIEVEMENT_SilentHunterDescription,Survivre les 50 premiers jours sans utiliser le fusil (en une partie),,"Überlebe in einem Spiel 50 Tage, ohne mit dem Gewehr zu schießen.","Выживите в течение 50 дней, не стреляя из винтовки (одиночная игра)"
ACHIEVEMENT_StarrySky,Sous un ciel étoilé,,Der Mond ist aufgegangen,Под звездным небом
ACHIEVEMENT_StarrySkyDescription,Survivre trois nuits consécutives dehors (en une partie),,Überlebe in einem Spiel 3 Nächte hintereinander im Freien.,Проведите 3 ночи подряд вне укрытия (одиночная игра)
ACHIEVEMENT_ToughAsNails,Durs à cuire,,Knallhart,С вами шутки плохи
ACHIEVEMENT_ToughAsNailsDescription,Vous avez survécu 20 jours en mode bac à sable.,,Du hast in einem Sandbox-Spiel 20 Tage überlebt.,Вы продержались 20 дней в одиночной игре на выживание.
ACHIEVEMENT_WasteNotWantNot,"Rien ne se jette, tout se récupère",,Spare in der Zeit,Все сгодится в дело
ACHIEVEMENT_WasteNotWantNotDescription,Dépecer 10 carcasses de chevreuils totalement (en une partie),,Zerlege in einem Spiel 10 vollständige Rehkadaver.,Соберите 10 целых оленьих туш (одиночная игра)
ACHIEVEMENT_Wolfbait,Chaperon Rouge,,Wolfsköder,Приманка для волка
ACHIEVEMENT_WolfbaitDescription,Vous avez survécu 5 jours en mode bac à sable.,,Du hast in einem Sandbox-Spiel 5 Tage überlebt.,Вы продержались 5 дней в одиночной игре на выживание.
ACHIEVEMENT_YouMadeIt,Vous l'avez fait !,,Geschafft!,Вы сделали это!
ACHIEVEMENT_YouMadeItDescription,Vous avez survécu 10 jours en mode bac à sable.,,Du hast in einem Sandbox-Spiel 10 Tage überlebt.,Вы продержались 10 дней в одиночной игре на выживание.
GAMEPLAY_12Hour,12 Heure,,,
GAMEPLAY_24Hour,24 Heures,,,
GAMEPLAY_38AmmoBox,Munition .38,,,
GAMEPLAY_38AmmoBoxDescription,Une boite de munition calibre .38.,,,
GAMEPLAY_38AmmoBoxTooltip,Munitions,,,
GAMEPLAY_AbandonedLookout,Tour de Guet Abandonnée,,,
GAMEPLAY_Accelerant,Accélérateur,,,
GAMEPLAY_AccelerantDescription,Carburant peu combustible conçu pour démarrer les feux; ex. essence à briquet.,,,
GAMEPLAY_AccelerantHeader,Accélérateur (Option),,,
GAMEPLAY_AccelerantMed,Accélérateur,,,
GAMEPLAY_AccelerantMedDescription,Carburant moyen conçu pour aider à démarrer les feux; ex. charbon de bois carburant.,,,
GAMEPLAY_AccelerantMedTooltip,Améliore l'allumage des feux,,,
GAMEPLAY_AccelerantTooltip,Améliore l'allumage des feux,,,
GAMEPLAY_AddedWaterToInventory,{quant-value} ajouté à réserve d'eau {qual-value},,,
GAMEPLAY_AdvancedFirstAid,Premiers soins avancés,,,
GAMEPLAY_Afflictions,Afflictions,,,
GAMEPLAY_AirTemp,Temp. de l'air,,,
GAMEPLAY_AirTemperature,Température de l'air,,,
GAMEPLAY_AlansCave,Caverne d'Alan,,,
GAMEPLAY_All,Tout,,,
GAMEPLAY_AM,AM,,,
GAMEPLAY_AnalogSensitivity,Sensibilité Sticks Analogiques,,,
GAMEPLAY_AnimalGut,Intestin,,,
GAMEPLAY_AnimalHide,Peau,,,
GAMEPLAY_Antibiotics,Antibiotiques,,,
GAMEPLAY_AntibioticsDescription,Un flacon d'antibiotiques. Prenez-en pour arrêter la propagation d'une infection.,,,
GAMEPLAY_AntibioticsTooltip,Soigne les infections,,,
GAMEPLAY_Antiseptic,Antiseptique,,,
GAMEPLAY_AntisepticDescription,Un bouteille de peroxyde d'hydrogène. Utile pour nettoyer les plaies.,,,
GAMEPLAY_AntisepticTooltip,Réduit les risques d'infection,,,
GAMEPLAY_APPLY,APPLIQUER,,,
GAMEPLAY_ApplyAntiseptic,Utiliser Antiseptique,,,
GAMEPLAY_ApplyBandage,Utiliser Bandage,,,
GAMEPLAY_ApplyCompressionBandage,Utiliser Bandage Compressif,,,
GAMEPLAY_ApplyingAntiseptic,Utiliser Antiseptique...,,,
GAMEPLAY_ApplyingBandage,Utiliser Bandage...,,,
GAMEPLAY_AteItem,A mangé {item-name}.,,,
GAMEPLAY_Attack,Attaque,,,
GAMEPLAY_Audio,Audio,,,
GAMEPLAY_BackDoor,Porte arrière,,,
GAMEPLAY_BackPack,Sac à dos,,,
GAMEPLAY_BackpackHeader,Sac à dos:,,,
GAMEPLAY_BackToGame,Revenir au jeu,,,
GAMEPLAY_Backward,Reculer,,,
GAMEPLAY_Bandage,Bandage,,,
